# The daily noon exchange rates for major foreign currencies are published every business day at about 12:30
# p.m. EST. They are obtained from market or official sources around noon and show the rates for the
# various currencies in Canadian dollars converted from US dollars. The rates are nominal quotations -
# neither buying nor selling rates - and are intended for statistical or analytical purposes. Rates
# available from financial institutions will differ.
#
Date (<y>-<m>-<d>), ISO4217, 2011-08-12, 2011-08-15, 2011-08-16, 2011-08-17, 2011-08-18, 2011-08-19, 2011-08-22
U.S. dollar , USD, 0.9879, 0.9838, 0.9817, 0.9820, 0.9901, 0.9849, 0.9901
U.S. dollar (close), USD, 0.9907, 0.9799, 0.9821, 0.9797, 0.9884, 0.9886, 0.9901
US/Canada noon 3-month forward points spread, IEXE0124, 0.20, 0.21, 0.20, 0.20, 0.20, 0.19, 0.19
US/Canada noon 6-month forward points spread , IEXE0125, 0.34, 0.36, 0.36, 0.36, 0.30, 0.30, 0.30
Argentine peso, ARS, 0.2276, 0.2269, 0.2262, 0.2252, 0.2267, 0.2263, 0.2267
Australian dollar, AUD, 1.0225, 1.0307, 1.0299, 1.0351, 1.0289, 1.0285, 1.0313
Bahamian dollar, BSD, 0.9879, 0.9838, 0.9817, 0.9820, 0.9901, 0.9849, 0.9901
Brazilian real, BRL, 0.6124, 0.6179, 0.6184, 0.6196, 0.6169, 0.6160, 0.6164
CFA franc (African Financial Community), XAF, 0.002144, 0.002167, 0.002158, 0.002161, 0.002161, 0.002163, 0.002171
CFP franc (Pacific Financial Community), XPF, 0.01179, 0.01191, 0.01186, 0.01188, 0.01188, 0.01189, 0.01193
Chilean peso, CLP, 0.002101, 0.002088, 0.002081, 0.002099, 0.002106, 0.002102, 0.002113
Chinese renminbi , CNY, 0.1546, 0.1539, 0.1538, 0.1537, 0.1550, 0.1541, 0.1547
Colombian peso, COP, 0.000554, 0.000552, 0.000553, 0.000555, 0.000558, 0.000553, 0.000556
Croatian kuna, HRK, 0.1887, 0.1908, 0.1897, 0.1905, 0.1898, 0.1903, 0.1902
Czech Republic koruna, CZK, 0.05805, 0.05845, 0.05793, 0.05804, 0.05794, 0.05793, 0.05808
Danish krone, DKK, 0.1888, 0.1908, 0.1900, 0.1903, 0.1903, 0.1905, 0.1912
East Caribbean dollar, XCD, 0.3700, 0.3685, 0.3677, 0.3678, 0.3708, 0.3689, 0.3708
European Euro , EUR, 1.4066, 1.4217, 1.4156, 1.4176, 1.4178, 1.4189, 1.4241
Fiji dollar, FJD, 0.5621, 0.5593, 0.5611, 0.5614, 0.5634, 0.5604, 0.5634
Ghanaian cedi , GHS, 0.6416, 0.6411, 0.6433, 0.6435, 0.6482, 0.6450, 0.6488
Guatemalan quetzal, GTQ, 0.1246, 0.1244, 0.1239, 0.1240, 0.1252, 0.1244, 0.1249
Honduran lempira, HNL, 0.05263, 0.05230, 0.05219, 0.05221, 0.05264, 0.05236, 0.05264
Hong Kong dollar , HKD, 0.126762, 0.126235, 0.126012, 0.126061, 0.127011, 0.126319, 0.126946
